gene	type	intercept	T2	acrAB	bamE	dapA	hdeA	letA	lolB	lptD	marR	mdtA	micA	mraZ	pspA	rcsA	rpoE	tolC	waaQ	ydiF	ygiM
adk	perfect_essential	0.600509778797235	0.0019836037589425	1	0.963597369327494	1	1.38341689151833e-20	1	1	1	1	1	1	0.000939190957227284	8.2070276383872e-23	0.935866046865785	0.999830657577384	1	1	0.02853591613421	1
aegA	perfect	0.131103909074485	0.159821092172701	0.871121336669084	0.89143839677536	0.85741947614041	0.511286625572684	0.984826007789662	0.999173274680078	0.972736030631908	0.916850786069603	8.61302757711499e-11	0.873695271545669	0.728288785874027	1.27304785754861e-06	1	0.0253599406266151	0.750232679421763	1	1.2855362469728e-57	0.980109945635346
aer	perfect	0.000989730502170591	3.1525303771489e-15	0.830354546483718	0.395504528790322	1.91415985211734e-15	0.000788089399488073	0.0896907479137133	0.945769144821736	0.00219396789287349	1	7.379541311119e-92	1	0.15066927955513	0.632697457729813	0.700933739584803	0.44768002960337	0.674205247546759	0.38568680244768	8.65913142753284e-129	1
aes	perfect	0.742255102026988	0.0180915987676125	0.00469299654933704	0.116626372075115	0.866742374787618	0.0341781555114241	0.291856909759488	0.0185014502624354	0.0548647783136154	0.70093372584777	5.34217349046575e-45	0.746755407943033	0.00373739968027256	0.0302181834549396	0.345537290482735	0.26008928392244	0.00441794148893595	0.0597629785976851	9.81816485599837e-51	0.19568489075392
afuB	perfect	0.105887234085607	0.949211115472032	1	0.204663927619367	0.663182026813595	0.143359910410299	0.763474034251585	2.24917226831072e-05	0.985613616280378	0.626957567661226	1.08027566202567e-14	0.0291920989937093	0.641717466165333	1	0.873326988905886	0.0730421516359676	0.041280335272006	0.644336464341711	1.0961248228674e-21	0.734572085740431
afuC	perfect	0.133835070200548	0.742821747212167	0.806987699906687	0.965540555734364	0.720495220377654	0.0346867627372117	0.116145431752592	0.0512706861247118	0.623208810144699	0.0008679862903294	4.71004463394772e-07	0.892356874407225	0.875124346839869	0.742933328614181	0.999786195618339	0.172732453486766	0.318358871691593	1	4.14776282496328e-21	0.483403254225212
agaA	perfect	0.625054937130177	0.0012556777754725	0.0640982561128261	0.951491954713883	0.773068719144927	0.357497438806028	0.69924746954282	1	0.0915381825956624	0.968414234258763	2.53627576464848e-18	1	0.00403645026571688	0.0321433894407931	1	0.464478660705657	0.44773501743725	1	5.87606070995907e-27	0.87859734821524
agaB	perfect	0.0279026411927801	0.0608668654592334	0.689059985488387	0.351602269155586	0.799680031602402	0.0055454062772313	0.996140870627536	1	1	0.000162319257158936	4.17818887921684e-09	0.558917350119237	1	0.239987985748072	0.979616929033292	0.198476905073854	1	0.0727756803678138	5.34260467235969e-47	1
agaC	perfect	0.421659546272715	6.91866680539655e-05	0.452596597487745	0.440054566195306	0.534455654926422	0.434685076849486	0.743837736763186	0.770124446901112	0.114219045706443	0.766636841707406	1.44717895948348e-08	0.907560574486373	0.097386391902454	0.0200684512079726	0.42561813450799	0.0374249407913835	0.143590922388712	0.602475707428136	3.74237015205179e-73	0.66982929330825
agaD	perfect	3.96564176718497e-05	0.146709851486615	0.00078174211813807	0.442098259084514	1	1.08054341206238e-06	0.123702601789097	0.00213890300140716	0.0440743534574357	0.0177412125653457	1.17521895684902e-12	3.68233675792111e-09	0.0533230345403315	0.00101463279465119	0.107180533613025	2.29636251548413e-05	2.25638022161547e-06	0.547381337687048	1.8928286778265e-36	0.000488585440535062
agaI	perfect	0.00611921889085113	9.89181859734982e-05	0.47046905175581	0.682757596607217	0.929998311020593	1.10675178103129e-08	1	0.053226587180749	0.96582230895114	0.904825409412542	0.00046989963912762	0.00723911236978878	1.12511403074451e-07	0.964952769800467	0.0568374310797819	0.0936023394586523	0.868366983506594	0.794736538242649	8.27410961076324e-116	0.440027822978421
agaR	perfect	0.172766743152383	0.0187810440114487	0.999207537622653	0.727342396530002	3.17566136172929e-05	0.946888801213499	0.957004690702339	0.983181856735543	1	0.985822359170685	9.61183218413137e-13	0.492392157881482	0.97542349087553	0.936701501047165	0.899784477553175	0.891621277635112	0.923052261292265	0.993338153079051	4.29727809244113e-18	0.0378650084876801
agaS	perfect	0.0206438869614751	0.380914508905806	0.873023352779377	0.995401625999814	0.996280448803595	0.318499296139954	0.573583832268913	0.0217472160049072	1	0.760385821623268	6.37224015219721e-17	0.973827426968651	0.965330950876816	0.986609793770089	0.991848378143052	0.258894988247514	0.930292102766997	0.998129168494509	1.41225286803014e-15	1
agaV	perfect	0.0236703977556545	0.00676246886286339	0.979094331226065	1	0.951345493573107	0.000147961951730022	1	0.804880182371919	0.042856195524285	0.957246291309797	6.9243206164753e-24	0.965977685754689	0.99644488017071	0.999426890315874	0.0109985921184365	0.714705886803221	0.291741320992467	0.9836349090989	5.92926612997094e-76	0.785425177466896
agaW	perfect	0.0534301624376517	0.221125306237895	0.247359384697167	0.975880434823761	0.0344158972620328	0.0413440542523548	0.320994562365011	0.544136713758427	0.103595982252481	0.484458158598666	1.11888535790636e-25	0.00253046825806258	0.0380521749505297	0.125716379100668	0.321346668883906	0.00343204493514287	0.042242942337936	0.0199299597761416	9.64401538810622e-17	0.0273960302444088
agp	perfect	3.22555192844133e-05	5.22080132035812e-05	0.186074341156902	0.552812336218174	0.939868765750457	0.0212077131828477	0.981988964219552	0.910422194902552	0.959961450691513	0.354073666360794	0.548563874191398	0.932835197885017	0.906559846387749	6.98516489135607e-16	0.563895311057744	8.03356282829133e-05	0.102598778163503	4.01761608225829e-15	1.8199610625295e-134	0.966176227811025
agrB	perfect	0.118447384452815	0.72752637785473	1	0.176565345117034	0.8216599821202	0.957271443990703	0.0114152806090288	0.946928216471354	0.862140624424611	1	7.65847006495532e-10	0.72283662835538	1	0.317141703013785	0.45636564460616	0.989480072152933	1	0.994638505485339	4.45423168486352e-11	0.166489814704822
ahpC	perfect	0.0673323810793263	8.70582122267549e-07	0.432464079399043	0.985979334026185	0.957742831207685	0.884947442807186	0.912948964995831	1	0.982391400574359	0.70513810358071	7.02852884628467e-89	0.344111991340745	1	0.000521334298066815	0.615812998362247	0.0265833166148462	0.492188897104024	0.478849789187091	1.70405591034238e-91	0.847251879187072
ahpF	perfect	0.0605351046818847	0.221676248188211	0.858232966518241	0.994254299846753	1	0.087558018272214	0.482509858217151	0.331156637629131	0.907703081518722	0.428084705019362	1.85182449622877e-14	0.494053548839859	0.966719972844928	0.0641631637177892	0.994280815092827	0.921961785277145	0.77615326573884	1	2.18179994786651e-22	0.0463441455326945
ahr	perfect	0.00363486124337813	0.309635365729411	0.908813809026282	0.0119782395758409	1	0.02800521946276	1	1	0.00151153123235733	0.975226208592227	5.86675033807232e-07	0.891721227801887	0.981562178244315	0.000136801710805493	0.971375742383504	0.644016007821376	4.89286797320024e-14	0.925597928386108	6.39371973577666e-42	0.98126350601458
aidB	perfect	0.211680911191521	1.54048629614534e-14	1	0.971169540790002	0.532856794806233	0.774541447110714	0.746694349936937	0.669028831702417	0.991110725009646	0.941332454050458	4.03457630944397e-37	0.928074339895179	1	0.436051635267816	0.0113502449803197	0.385172988910143	0.563248830343004	0.0377572777689216	9.6300840142465e-79	0.961511926465189
